都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,介護サービス事業所名称,介護サービス事業所名称_カナ,実施サービス,住所,方書,緯度,経度,電話番号,内線番号,FAX番号,法人番号,法人の名称,事業所番号,利用可能曜日,利用可能曜日特記事項,定員,URL,備考
38201,0000000019,愛媛県,松山市,松山市地域包括支援センター北条,ﾏﾂﾔﾏｼﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰﾎｳｼﾞｮｳ,介護予防支援,松山市河野別府937ｰ1,,33.9581004,132.7813694,089-992-0117,,089-992-0118,,社会福祉法人　安寿会,3800100152,,,,,
38201,0000000020,愛媛県,松山市,松山市地域包括支援センター北条,ﾏﾂﾔﾏｼﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰﾎｳｼﾞｮｳ,介護予防ケアマネジメント,松山市河野別府937ｰ1,,33.9581004,132.7813694,089-992-0117,,089-992-0118,,社会福祉法人　安寿会,3800100152,,,,,
38201,0000000021,愛媛県,松山市,松山市地域包括支援センター雄郡・新玉,ﾏﾂﾔﾏｼﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰﾕｳｸﾞﾝ･ｱﾗﾀﾏ,介護予防支援,松山市千舟町8ｰ128ｰ1,,33.8367397,132.7519994,089-993-7220,,089-993-7721,,社会福祉法人和光会,3800100160,,,,,
38201,0000000022,愛媛県,松山市,松山市地域包括支援センター雄郡・新玉,ﾏﾂﾔﾏｼﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰﾕｳｸﾞﾝ･ｱﾗﾀﾏ,介護予防ケアマネジメント,松山市千舟町8ｰ128ｰ1,,33.8367397,132.7519994,089-993-7220,,089-993-7721,,社会福祉法人和光会,3800100160,,,,,
38201,0000000023,愛媛県,松山市,松山市地域包括支援センター垣生・余土,ﾏﾂﾔﾏｼﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰﾊﾌﾞ･ﾖﾄﾞ,介護予防支援,松山市保免西4ｰ5ｰ25,,33.81405,132.7409897,089-989-7600,,089-971-6510,,社会福祉法人愛寿会,3800100178,,,,,
38201,0000000024,愛媛県,松山市,松山市地域包括支援センター垣生・余土,ﾏﾂﾔﾏｼﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰﾊﾌﾞ･ﾖﾄﾞ,介護予防ケアマネジメント,松山市保免西4ｰ5ｰ25,,33.81405,132.7409897,089-989-7600,,089-971-6510,,社会福祉法人愛寿会,3800100178,,,,,
38201,0000000025,愛媛県,松山市,大野眼科医院,ｵｵﾉｶﾞﾝｶｲｲﾝ,訪問看護,松山市一番町2ｰ9-1,,33.8419878,132.7722004,,,,,＊,3810110068,,,,,
38201,0000000026,愛媛県,松山市,大野眼科医院,ｵｵﾉｶﾞﾝｶｲｲﾝ,訪問リハビリテーション,松山市一番町2ｰ9-1,,33.8419878,132.7722004,,,,,＊,3810110068,,,,,
38201,0000000027,愛媛県,松山市,大野眼科医院,ｵｵﾉｶﾞﾝｶｲｲﾝ,居宅療養管理指導,松山市一番町2ｰ9-1,,33.8419878,132.7722004,,,,,＊,3810110068,,,,,
38201,0000000028,愛媛県,松山市,大野眼科医院,ｵｵﾉｶﾞﾝｶｲｲﾝ,通所リハビリテーション,松山市一番町2ｰ9-1,,33.8419878,132.7722004,089-947-3290,,,,＊,3810110068,,,,,
38201,0000000029,愛媛県,松山市,大野眼科医院,ｵｵﾉｶﾞﾝｶｲｲﾝ,介護予防訪問看護,松山市一番町2ｰ9-1,,33.8419878,132.7722004,089-947-3290,,,,＊,3810110068,,,,,
38201,0000000030,愛媛県,松山市,大野眼科医院,ｵｵﾉｶﾞﾝｶｲｲﾝ,介護予防訪問リハビリテーション,松山市一番町2ｰ9-1,,33.8419878,132.7722004,089-947-3290,,,,＊,3810110068,,,,,
38201,0000000031,愛媛県,松山市,大野眼科医院,ｵｵﾉｶﾞﾝｶｲｲﾝ,介護予防居宅療養管理指導,松山市一番町2ｰ9-1,,33.8419878,132.7722004,089-947-3290,,,,＊,3810110068,,,,,
38201,0000000032,愛媛県,松山市,大野眼科医院,ｵｵﾉｶﾞﾝｶｲｲﾝ,介護予防通所リハビリテーション,松山市一番町2ｰ9-1,,33.8419878,132.7722004,089-947-3290,,,,＊,3810110068,,,,,
38201,0000000033,愛媛県,松山市,中田胃腸科放射線科,ﾅｶﾀｲﾁｮｳｶﾎｳｼｬｾﾝｶ,訪問看護,松山市南久米町563,,33.8134636,132.7967221,,,,,医療法人中田胃腸科放射線科,3810110175,,,,,
38201,0000000034,愛媛県,松山市,中田胃腸科放射線科,ﾅｶﾀｲﾁｮｳｶﾎｳｼｬｾﾝｶ,訪問リハビリテーション,松山市南久米町563,,33.8134636,132.7967221,,,,,医療法人中田胃腸科放射線科,3810110175,,,,,
38201,0000000035,愛媛県,松山市,中田胃腸科放射線科,ﾅｶﾀｲﾁｮｳｶﾎｳｼｬｾﾝｶ,居宅療養管理指導,松山市南久米町563,,33.8134636,132.7967221,,,,,医療法人中田胃腸科放射線科,3810110175,,,,,
38201,0000000036,愛媛県,松山市,中田胃腸科放射線科,ﾅｶﾀｲﾁｮｳｶﾎｳｼｬｾﾝｶ,通所リハビリテーション,松山市南久米町563,,33.8134636,132.7967221,089-976-5111,,,,医療法人中田胃腸科放射線科,3810110175,,,,,
38201,0000000037,愛媛県,松山市,中田胃腸科放射線科,ﾅｶﾀｲﾁｮｳｶﾎｳｼｬｾﾝｶ,介護予防訪問看護,松山市南久米町563,,33.8134636,132.7967221,089-976-5111,,,,医療法人中田胃腸科放射線科,3810110175,,,,,
38201,0000000038,愛媛県,松山市,中田胃腸科放射線科,ﾅｶﾀｲﾁｮｳｶﾎｳｼｬｾﾝｶ,介護予防訪問リハビリテーション,松山市南久米町563,,33.8134636,132.7967221,089-976-5111,,,,医療法人中田胃腸科放射線科,3810110175,,,,,
38201,0000000039,愛媛県,松山市,中田胃腸科放射線科,ﾅｶﾀｲﾁｮｳｶﾎｳｼｬｾﾝｶ,介護予防居宅療養管理指導,松山市南久米町563,,33.8134636,132.7967221,089-976-5111,,,,医療法人中田胃腸科放射線科,3810110175,,,,,
38201,0000000040,愛媛県,松山市,中田胃腸科放射線科,ﾅｶﾀｲﾁｮｳｶﾎｳｼｬｾﾝｶ,介護予防通所リハビリテーション,松山市南久米町563,,33.8134636,132.7967221,089-976-5111,,,,医療法人中田胃腸科放射線科,3810110175,,,,,
38201,0000000041,愛媛県,松山市,徳山内科,ﾄｸﾔﾏﾅｲｶ,訪問看護,松山市松ﾉ木1ｰ7ｰ11,,33.8690695,132.7175812,,,,,＊,3810110191,,,,,
38201,0000000042,愛媛県,松山市,徳山内科,ﾄｸﾔﾏﾅｲｶ,訪問リハビリテーション,松山市松ﾉ木1ｰ7ｰ11,,33.8690695,132.7175812,,,,,＊,3810110191,,,,,
38201,0000000043,愛媛県,松山市,徳山内科,ﾄｸﾔﾏﾅｲｶ,居宅療養管理指導,松山市松ﾉ木1ｰ7ｰ11,,33.8690695,132.7175812,,,,,＊,3810110191,,,,,
38201,0000000044,愛媛県,松山市,徳山内科,ﾄｸﾔﾏﾅｲｶ,通所リハビリテーション,松山市松ﾉ木1ｰ7ｰ11,,33.8690695,132.7175812,089-951-1110,,,,＊,3810110191,,,,,
38201,0000000045,愛媛県,松山市,徳山内科,ﾄｸﾔﾏﾅｲｶ,介護予防訪問看護,松山市松ﾉ木1ｰ7ｰ11,,33.8690695,132.7175812,089-951-1110,,,,＊,3810110191,,,,,
38201,0000000046,愛媛県,松山市,徳山内科,ﾄｸﾔﾏﾅｲｶ,介護予防訪問リハビリテーション,松山市松ﾉ木1ｰ7ｰ11,,33.8690695,132.7175812,089-951-1110,,,,＊,3810110191,,,,,
38201,0000000047,愛媛県,松山市,徳山内科,ﾄｸﾔﾏﾅｲｶ,介護予防居宅療養管理指導,松山市松ﾉ木1ｰ7ｰ11,,33.8690695,132.7175812,089-951-1110,,,,＊,3810110191,,,,,
38201,0000000048,愛媛県,松山市,徳山内科,ﾄｸﾔﾏﾅｲｶ,介護予防通所リハビリテーション,松山市松ﾉ木1ｰ7ｰ11,,33.8690695,132.7175812,089-951-1110,,,,＊,3810110191,,,,,
38201,0000000049,愛媛県,松山市,岡本耳鼻咽喉科小児科,ｵｶﾓﾄｼﾞﾋﾞｲﾝｺｳｶｼｮｳﾆｶ,訪問看護,松山市山越2ｰ1-30,,33.8597153,132.7589194,,,,,＊,3810110225,,,,,
38201,0000000050,愛媛県,松山市,岡本耳鼻咽喉科小児科,ｵｶﾓﾄｼﾞﾋﾞｲﾝｺｳｶｼｮｳﾆｶ,訪問リハビリテーション,松山市山越2ｰ1-30,,33.8597153,132.7589194,,,,,＊,3810110225,,,,,
38201,0000000051,愛媛県,松山市,岡本耳鼻咽喉科小児科,ｵｶﾓﾄｼﾞﾋﾞｲﾝｺｳｶｼｮｳﾆｶ,居宅療養管理指導,松山市山越2ｰ1-30,,33.8597153,132.7589194,,,,,＊,3810110225,,,,,
38201,0000000052,愛媛県,松山市,岡本耳鼻咽喉科小児科,ｵｶﾓﾄｼﾞﾋﾞｲﾝｺｳｶｼｮｳﾆｶ,通所リハビリテーション,松山市山越2ｰ1-30,,33.8597153,132.7589194,089-926-3349,,,,＊,3810110225,,,,,
38201,0000000053,愛媛県,松山市,岡本耳鼻咽喉科小児科,ｵｶﾓﾄｼﾞﾋﾞｲﾝｺｳｶｼｮｳﾆｶ,介護予防訪問看護,松山市山越2ｰ1-30,,33.8597153,132.7589194,089-926-3349,,,,＊,3810110225,,,,,
38201,0000000054,愛媛県,松山市,岡本耳鼻咽喉科小児科,ｵｶﾓﾄｼﾞﾋﾞｲﾝｺｳｶｼｮｳﾆｶ,介護予防訪問リハビリテーション,松山市山越2ｰ1-30,,33.8597153,132.7589194,089-926-3349,,,,＊,3810110225,,,,,
38201,0000000055,愛媛県,松山市,岡本耳鼻咽喉科小児科,ｵｶﾓﾄｼﾞﾋﾞｲﾝｺｳｶｼｮｳﾆｶ,介護予防居宅療養管理指導,松山市山越2ｰ1-30,,33.8597153,132.7589194,089-926-3349,,,,＊,3810110225,,,,,
38201,0000000056,愛媛県,松山市,岡本耳鼻咽喉科小児科,ｵｶﾓﾄｼﾞﾋﾞｲﾝｺｳｶｼｮｳﾆｶ,介護予防通所リハビリテーション,松山市山越2ｰ1-30,,33.8597153,132.7589194,089-926-3349,,,,＊,3810110225,,,,,
38201,0000000057,愛媛県,松山市,馬越循環器科内科,ｳﾏｺｼｼﾞｭﾝｶﾝｷｶﾅｲｶ,訪問看護,松山市居相町4ｰ16ｰ20,,33.8084019,132.7683654,,,,,医療法人  馬越クリニック,3810110233,,,,,
38201,0000000058,愛媛県,松山市,馬越循環器科内科,ｳﾏｺｼｼﾞｭﾝｶﾝｷｶﾅｲｶ,居宅療養管理指導,松山市居相町4ｰ16ｰ20,,33.8084019,132.7683654,,,,,医療法人  馬越クリニック,3810110233,,,,,
38201,0000000059,愛媛県,松山市,馬越循環器科内科,ｳﾏｺｼｼﾞｭﾝｶﾝｷｶﾅｲｶ,介護予防訪問看護,松山市居相町4ｰ16ｰ20,,33.8084019,132.7683654,089-957-7377,,089-957-7378,,医療法人  馬越クリニック,3810110233,,,,,
38201,0000000060,愛媛県,松山市,馬越循環器科内科,ｳﾏｺｼｼﾞｭﾝｶﾝｷｶﾅｲｶ,介護予防居宅療養管理指導,松山市居相町4ｰ16ｰ20,,33.8084019,132.7683654,089-957-7377,,089-957-7378,,医療法人  馬越クリニック,3810110233,,,,,
38201,0000000061,愛媛県,松山市,社会福祉法人恩賜財団済生会松山病院,ｼｬｶｲﾌｸｼﾎｳｼﾞﾝｵﾝｼｻﾞｲﾀﾞﾝｻｲｾｲｶｲﾏﾂﾔﾏﾋﾞｮｳｲﾝ,訪問リハビリテーション,松山市山西町880-2,,33.8523596,132.7208288,,,,,社会福祉法人恩賜財団済生会支部愛媛県済生会,3810110282,,,,,
38201,0000000062,愛媛県,松山市,社会福祉法人恩賜財団済生会松山病院,ｼｬｶｲﾌｸｼﾎｳｼﾞﾝｵﾝｼｻﾞｲﾀﾞﾝｻｲｾｲｶｲﾏﾂﾔﾏﾋﾞｮｳｲﾝ,居宅療養管理指導,松山市山西町880-2,,33.8523596,132.7208288,,,,,社会福祉法人恩賜財団済生会支部愛媛県済生会,3810110282,,,,,
38201,0000000063,愛媛県,松山市,社会福祉法人恩賜財団済生会松山病院,ｼｬｶｲﾌｸｼﾎｳｼﾞﾝｵﾝｼｻﾞｲﾀﾞﾝｻｲｾｲｶｲﾏﾂﾔﾏﾋﾞｮｳｲﾝ,通所リハビリテーション,松山市山西町880-2,,33.8523596,132.7208288,089-951-6111,,089-953-3806,,社会福祉法人恩賜財団済生会支部愛媛県済生会,3810110282,,,,,
38201,0000000064,愛媛県,松山市,社会福祉法人恩賜財団済生会松山病院,ｼｬｶｲﾌｸｼﾎｳｼﾞﾝｵﾝｼｻﾞｲﾀﾞﾝｻｲｾｲｶｲﾏﾂﾔﾏﾋﾞｮｳｲﾝ,介護予防訪問リハビリテーション,松山市山西町880-2,,33.8523596,132.7208288,,,,,社会福祉法人恩賜財団済生会支部愛媛県済生会,3810110282,,,,,
38201,0000000065,愛媛県,松山市,社会福祉法人恩賜財団済生会松山病院,ｼｬｶｲﾌｸｼﾎｳｼﾞﾝｵﾝｼｻﾞｲﾀﾞﾝｻｲｾｲｶｲﾏﾂﾔﾏﾋﾞｮｳｲﾝ,介護予防居宅療養管理指導,松山市山西町880-2,,33.8523596,132.7208288,,,,,社会福祉法人恩賜財団済生会支部愛媛県済生会,3810110282,,,,,
38201,0000000066,愛媛県,松山市,社会福祉法人恩賜財団済生会松山病院,ｼｬｶｲﾌｸｼﾎｳｼﾞﾝｵﾝｼｻﾞｲﾀﾞﾝｻｲｾｲｶｲﾏﾂﾔﾏﾋﾞｮｳｲﾝ,介護予防通所リハビリテーション,松山市山西町880-2,,33.8523596,132.7208288,089-951-6111,,089-953-3806,,社会福祉法人恩賜財団済生会支部愛媛県済生会,3810110282,,,,,
38201,0000000067,愛媛県,松山市,ひろ整形外科,ﾋﾛｾｲｹｲｹﾞｶ,訪問看護,松山市桑原4ｰ16-11,,33.8305611,132.7959123,,,,,＊,3810110340,,,,,
38201,0000000068,愛媛県,松山市,ひろ整形外科,ﾋﾛｾｲｹｲｹﾞｶ,訪問リハビリテーション,松山市桑原4ｰ16-11,,33.8305611,132.7959123,,,,,＊,3810110340,,,,,
38201,0000000069,愛媛県,松山市,ひろ整形外科,ﾋﾛｾｲｹｲｹﾞｶ,居宅療養管理指導,松山市桑原4ｰ16-11,,33.8305611,132.7959123,,,,,＊,3810110340,,,,,
38201,0000000070,愛媛県,松山市,ひろ整形外科,ﾋﾛｾｲｹｲｹﾞｶ,通所リハビリテーション,松山市桑原4ｰ16-11,,33.8305611,132.7959123,089-947-8555,,,,＊,3810110340,,,,,
38201,0000000071,愛媛県,松山市,ひろ整形外科,ﾋﾛｾｲｹｲｹﾞｶ,介護予防訪問看護,松山市桑原4ｰ16-11,,33.8305611,132.7959123,089-947-8555,,,,＊,3810110340,,,,,
38201,0000000072,愛媛県,松山市,ひろ整形外科,ﾋﾛｾｲｹｲｹﾞｶ,介護予防訪問リハビリテーション,松山市桑原4ｰ16-11,,33.8305611,132.7959123,089-947-8555,,,,＊,3810110340,,,,,
38201,0000000073,愛媛県,松山市,ひろ整形外科,ﾋﾛｾｲｹｲｹﾞｶ,介護予防居宅療養管理指導,松山市桑原4ｰ16-11,,33.8305611,132.7959123,089-947-8555,,,,＊,3810110340,,,,,
38201,0000000074,愛媛県,松山市,ひろ整形外科,ﾋﾛｾｲｹｲｹﾞｶ,介護予防通所リハビリテーション,松山市桑原4ｰ16-11,,33.8305611,132.7959123,089-947-8555,,,,＊,3810110340,,,,,
38201,0000000075,愛媛県,松山市,近藤内科,ｺﾝﾄﾞｳﾅｲｶ,訪問看護,松山市中野町甲404,,33.7782824,132.8296628,,,,,医療法人社団  近藤内科,3810110266,,,,,
38201,0000000076,愛媛県,松山市,近藤内科,ｺﾝﾄﾞｳﾅｲｶ,訪問リハビリテーション,松山市中野町甲404,,33.7782824,132.8296628,,,,,医療法人社団  近藤内科,3810110266,,,,,
38201,0000000077,愛媛県,松山市,近藤内科,ｺﾝﾄﾞｳﾅｲｶ,居宅療養管理指導,松山市中野町甲404,,33.7782824,132.8296628,,,,,医療法人社団  近藤内科,3810110266,,,,,
38201,0000000078,愛媛県,松山市,近藤内科,ｺﾝﾄﾞｳﾅｲｶ,通所リハビリテーション,松山市中野町甲404,,33.7782824,132.8296628,089-963-3836,,089-963-3828,,医療法人社団  近藤内科,3810110266,,,,,
38201,0000000079,愛媛県,松山市,近藤内科,ｺﾝﾄﾞｳﾅｲｶ,介護予防訪問看護,松山市中野町甲404,,33.7782824,132.8296628,089-963-3836,,,,医療法人社団  近藤内科,3810110266,,,,,
38201,0000000080,愛媛県,松山市,近藤内科,ｺﾝﾄﾞｳﾅｲｶ,介護予防訪問リハビリテーション,松山市中野町甲404,,33.7782824,132.8296628,089-963-3836,,,,医療法人社団  近藤内科,3810110266,,,,,
38201,0000000081,愛媛県,松山市,近藤内科,ｺﾝﾄﾞｳﾅｲｶ,介護予防居宅療養管理指導,松山市中野町甲404,,33.7782824,132.8296628,089-963-3836,,,,医療法人社団  近藤内科,3810110266,,,,,
38201,0000000082,愛媛県,松山市,近藤内科,ｺﾝﾄﾞｳﾅｲｶ,介護予防通所リハビリテーション,松山市中野町甲404,,33.7782824,132.8296628,089-963-3836,,089-963-3828,,医療法人社団  近藤内科,3810110266,,,,,
38201,0000000083,愛媛県,松山市,松山第一病院,ﾏﾂﾔﾏﾀﾞｲｲﾁﾋﾞｮｳｲﾝ,訪問リハビリテーション,松山市久万ﾉ台282-2,,33.8595899,132.7483144,089-924-6878,,,,医療法人  松原会,3810110373,,,,,
38201,0000000084,愛媛県,松山市,松山第一病院,ﾏﾂﾔﾏﾀﾞｲｲﾁﾋﾞｮｳｲﾝ,通所リハビリテーション,松山市久万ﾉ台282ｰ2,,33.8595899,132.7483144,089-924-6878,,,,医療法人  松原会,3810110373,,,,,
38201,0000000085,愛媛県,松山市,松山第一病院,ﾏﾂﾔﾏﾀﾞｲｲﾁﾋﾞｮｳｲﾝ,短期入所療養介護,松山市久万ﾉ台282ｰ2,,33.8595899,132.7483144,089-924-6878,,089-922-5623,,医療法人  松原会,3810110373,,,,,
38201,0000000086,愛媛県,松山市,松山第一病院,ﾏﾂﾔﾏﾀﾞｲｲﾁﾋﾞｮｳｲﾝ,介護療養型医療施設,松山市久万ﾉ台282ｰ2,,33.8595899,132.7483144,089-924-6878,,089-922-5623,,医療法人  松原会,3810110373,,,,,
38201,0000000087,愛媛県,松山市,松山第一病院,ﾏﾂﾔﾏﾀﾞｲｲﾁﾋﾞｮｳｲﾝ,介護予防訪問リハビリテーション,松山市久万ﾉ台282-2,,33.8595899,132.7483144,089-924-6878,,,,医療法人  松原会,3810110373,,,,,
38201,0000000088,愛媛県,松山市,松山第一病院,ﾏﾂﾔﾏﾀﾞｲｲﾁﾋﾞｮｳｲﾝ,介護予防通所リハビリテーション,松山市久万ﾉ台282ｰ2,,33.8595899,132.7483144,089-924-6878,,,,医療法人  松原会,3810110373,,,,,
38201,0000000089,愛媛県,松山市,松山第一病院,ﾏﾂﾔﾏﾀﾞｲｲﾁﾋﾞｮｳｲﾝ,介護予防短期入所療養介護,松山市久万ﾉ台282ｰ2,,33.8595899,132.7483144,089-924-6878,,089-922-5623,,医療法人  松原会,3810110373,,,,,
38201,0000000090,愛媛県,松山市,山岡整形外科,ﾔﾏｵｶｾｲｹｲｹﾞｶ,訪問看護,松山市西長戸町275-1,,33.868892,132.743344,089-926-7700,,,,医療法人　ごまみし会,3810110415,,,,,
38201,0000000091,愛媛県,松山市,山岡整形外科,ﾔﾏｵｶｾｲｹｲｹﾞｶ,訪問リハビリテーション,松山市西長戸町275-1,,33.868892,132.743344,089-926-7700,,,,医療法人　ごまみし会,3810110415,,,,,
38201,0000000092,愛媛県,松山市,山岡整形外科,ﾔﾏｵｶｾｲｹｲｹﾞｶ,居宅療養管理指導,松山市西長戸町275-1,,33.868892,132.743344,089-926-7700,,,,医療法人　ごまみし会,3810110415,,,,,
38201,0000000093,愛媛県,松山市,山岡整形外科,ﾔﾏｵｶｾｲｹｲｹﾞｶ,通所リハビリテーション,松山市西長戸町275-1,,33.868892,132.743344,089-926-7700,,,,医療法人　ごまみし会,3810110415,,,,,
